,0
0,95.98822962057861
1,97.9347630273007
2,94.99864303366276
3,94.73514229960381
4,99.13849314589963
5,95.39014626240329
6,95.26468516515752
7,96.28663274971484
8,97.68341716765477
9,95.69409705654014
10,95.01620127087679
11,95.04110442222665
12,95.57375453297136
13,96.77976135366659
14,93.89437570730954
15,96.67636153618913
16,95.43063413610116
17,96.81277662867379
18,96.66195887099025
19,95.34850634505771
20,95.9131238017914
21,100.62587255351848
22,96.11250738891695
23,94.50126904543139
24,99.97690266095935
25,95.63722757660808
26,93.54135572170915
27,94.81020225030053
28,96.06014552987025
29,96.4979086355115
30,96.65142811698679
31,97.19858153142106
32,93.40839150356781
33,98.8170500764243
34,94.93128866781726
35,95.11555036791151
36,97.21846598452986
37,95.5465001544761
38,96.00529941773833
39,94.596819569345
40,95.99391226154944
41,94.6793530513554
42,94.43439938914885
43,96.63212451838562
44,94.55411807277389
45,96.36523819358744
46,102.27014660493052
47,93.92172555247743
48,94.64392686133735
49,97.61482597426021
50,94.41077672905764
51,95.16094214244843
52,95.22067358774619
53,94.78375399713698
54,95.98972503902593
55,95.7210089080749
56,96.35926813519207
57,96.43235745367508
58,95.52084191770288
59,95.61508931305742
60,95.16643630880732
61,97.5221168132242
62,95.76297388689792
63,94.36932214931923
64,94.31487045189486
65,96.30156031204572
66,99.40157258875436
67,95.51061062043834
68,94.4452012820677
69,95.28301196843469
70,95.39872300183828
71,96.2454587199059
72,96.2579489146475
73,97.8249721145751
74,95.20892923698209
75,95.02436731709463
76,98.76992879508818
77,93.28790204949813
78,94.94177550376074
79,95.52460488158624
80,94.8095857017717
81,94.14081418997648
82,98.1762149448248
83,94.2218327532415
84,95.13710565735816
85,97.87223218715675
86,96.9885723171065
87,97.27460750988682
88,95.03699240302345
89,94.18697224141177
90,95.23424045324808
91,94.89655007523707
92,95.65188713702746
93,95.14997458178664
94,95.17966268216266
95,97.16384183664957
96,96.62255572252349
97,97.07864673363204
98,96.48372157577344
99,97.09366492995328
