,0
0,199.07863325860822
1,192.65127859225933
2,201.71325411153126
3,197.76841840749668
4,193.49409142909988
5,199.8736749525534
6,199.9268091072006
7,202.081814033764
8,200.8481956871072
9,194.106380727545
10,203.8524411292081
11,199.49519577307376
12,203.81507198074294
13,191.21039405902704
14,193.68953386103848
15,195.02709279795812
16,198.68479245607466
17,204.21393854028153
18,201.70832093426114
19,202.86678437518617
20,199.8803671447764
21,198.82308674059786
22,195.5951752732753
23,203.2475912736993
24,196.1211273566497
25,198.306875367839
26,193.84973647839885
27,202.77140079750762
28,199.68523551623042
29,200.4680170082201
30,199.28193835512263
31,203.07748923760596
32,199.6560596742526
33,200.53567295547586
34,198.9071425265011
35,204.05886087249792
36,207.75754690155472
37,200.18148934341139
38,197.9918331448675
39,199.93128599863675
40,199.40984387089063
41,201.28881570681298
42,198.45321747640835
43,199.67769688072426
44,198.4493886431116
45,199.0443919825956
46,197.95625607554484
47,194.28724846416839
48,197.9557997897121
49,196.53364942699702
50,201.08892283479125
51,195.82489865825542
52,202.68710033659383
53,195.23812830228613
54,198.26619980029326
55,198.51444574496972
56,203.91142103279304
57,200.26936073693437
58,193.2514928482161
59,197.202372686333
60,198.4919356438588
61,196.1505148094506
62,197.08672075968252
63,196.82339093115408
64,196.94719648726138
65,202.4029334550098
66,201.73318520575785
67,196.97695425899767
68,202.1743011883269
69,198.41975651529862
70,198.33123045079734
71,199.90345256280628
72,197.19807434152708
73,201.49408481626293
74,197.5983560484323
75,199.2366602522133
76,199.93140502972489
77,198.33819376938385
78,201.41137143650593
79,197.34212840809099
80,193.3387095707607
81,199.9911983124033
82,197.90197789989423
83,202.3824138181864
84,198.91473406471346
85,201.6456047771143
86,204.5581301538811
87,196.71843196381454
88,196.23050369988366
89,199.76953597714643
90,199.10590460319605
91,198.90423949054681
92,195.25538119705655
93,197.94715019739317
94,198.50049265644347
95,198.67854332400933
96,198.01957400096487
97,200.86913193273443
98,199.39731915540804
99,200.59620687602887
