,0
0,276.0357159389229
1,271.0660424147436
2,273.0464155110735
3,260.7873046732925
4,266.84976292975244
5,271.108212483715
6,266.28130352265924
7,273.2561019964167
8,273.75881656648147
9,266.3809523809521
10,280.38024480727
11,276.7098154356866
12,268.9065605967426
13,271.7589091462174
14,275.54176999226326
15,271.9853327249525
16,269.43397411735236
17,263.63024976689707
18,267.7498164937415
19,266.9649321192172
20,269.7841238981368
21,274.7934678384622
22,272.6474365332858
23,270.3747958286212
24,276.0705920474014
25,278.85733462944825
26,274.34334517031397
27,266.8356511331102
28,271.61899471634183
29,272.7049880638284
30,275.42417389119163
31,267.12914872934283
32,274.2581122992167
33,269.7499619761797
34,266.72690300950325
35,273.04033169996325
36,267.75966962260406
37,276.3212913550364
38,264.54977813928076
39,278.6714014587919
40,271.8031556463714
41,268.79126576335256
42,268.50900999199814
43,268.65359308561597
44,269.59963232619793
45,265.6080636948564
46,269.70064342915316
47,272.2407866632295
48,264.1591776274453
49,264.4164765475681
50,277.5528332705124
51,268.18412786583866
52,277.43821955945197
53,274.7093723755295
54,274.087944134743
55,274.15264414334007
56,269.3302120737204
57,271.413037871724
58,270.18304336038017
59,273.0933335978479
60,274.5508494190631
61,274.9030822438685
62,266.38517798453796
63,272.51536492947434
64,279.0294998710496
65,272.4249013033899
66,273.1460775950439
67,270.6361814827303
68,273.64186852355186
69,276.48441023402904
70,264.53606311292714
71,276.8802150494976
72,275.0885723543692
73,273.1525978534723
74,269.6686901951454
75,267.07713214434364
76,273.7511588998876
77,277.329669820991
78,275.5437869079029
79,269.87168448826566
80,270.5690810138809
81,274.18617123283104
82,264.6870474338873
83,265.45649744413834
84,269.9570959059916
85,276.9550657646751
86,263.070459790637
87,275.3836702574381
88,275.94736842105266
89,270.1476646762017
90,279.27306392630743
91,267.6271681843134
92,264.2668346327561
93,268.995919878853
94,270.5760575581423
95,276.8363322554413
96,277.81833210995865
97,273.974236382514
98,265.2493172244598
99,268.9158979242304
