,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,113.50583028083025,114.87074684574677,110.07023300773297,113.48142551892555,115.30536630036632,114.56742131325458,114.29474824117676,114.5441957926333,115.35513555374668,115.45012057387062,116.51933529433542,116.14908382512567,115.52649024764425,115.34857876911457,115.77717134717149,115.78818935693948,115.89892174818648,115.77975512142189,115.8415783047362,115.85858440170955,115.894388966413,115.22510244385265,114.74016629505783,114.42500890313414,113.9175700040702,113.84172595566844,113.50500101750119,113.76531557067288,113.80050875050905,113.89824888074915,114.19727720010007,114.3915722298538,113.98789759623116,113.46163362781023,113.32965942787382,113.27991339935797,113.4085303710307,113.33110339952464,113.0821946453359,113.00508305352074
1,109.35633903133905,111.11321479446484,113.10959164292497,111.90009793447285,113.45534493284481,114.71013431013422,116.03538941217506,115.0915153133902,114.66664857775962,113.8750295075294,114.88251470751463,115.0373995217744,114.6154867568328,113.23439335135743,113.21151336317983,112.60748848951958,111.66386434915833,111.78780298919176,111.78994200244185,112.04000814000807,111.93947879721682,111.40868136493124,111.7999442586397,111.82334147334129,111.57612128612114,111.22915668732962,110.95340297562518,110.78887907727184,110.68178708264908,110.7542088929589,110.3780743300905,110.3846088662495,110.45512404262404,110.29402786755738,110.23453020524455,110.28824574345425,110.25378125378145,110.09787047747585,109.94852788474599,109.81333142551904
2,108.1707061457062,117.82108262108264,117.06895604395608,114.14119861619861,115.20109584859594,113.83798161714847,113.93320759927917,114.5955897690274,113.0244765522545,111.3947293447295,112.34977291227304,112.86469822615672,112.83458525093145,113.12137769637759,113.09951973951966,112.33065889550255,112.40654283080745,112.28566538913753,112.44743348756498,112.10958435083425,112.59902513712028,112.5533903596403,112.65503618764482,112.4366164699498,111.69045868945867,111.36727873266331,111.17880828019715,111.56838224606089,111.89412235274312,111.67108787817136,112.06293342261101,112.3727769192615,112.55925062591751,112.97003279944482,112.99900444793332,113.24223788043274,113.40811360811405,113.46223852901528,113.42073732298144,113.16885035103843
3,117.57411986161988,113.7200066137566,112.78883462216798,109.64625432437923,108.56917277167261,111.08926875593538,111.86463675213669,110.19875610500615,109.18268608963052,108.10691086691098,108.04776889776896,108.41591837946017,108.58083380294927,108.45049893889194,107.32001763668437,107.5899582188646,108.03554819363656,107.55842688689921,107.47079343658285,106.96040700040699,107.04025742775738,107.09537152662139,107.21630390543422,106.59320436507927,106.6537749287748,106.1102955449108,105.74230373535909,105.5336062416418,105.44912565084965,105.42961318002975,105.1258341867213,105.23034903464591,105.27065095398429,104.9359665661137,105.00977731263444,105.19271073576641,105.17036872036884,105.22100055159282,105.40478734228743,105.68278718966238
4,102.06675824175827,102.65819088319091,106.11225240808577,107.7548382173383,108.80713573463586,108.89812610229282,109.26964939822089,109.54168765262516,110.58666451860888,111.13735093610077,111.6166749916748,110.54358931963084,110.69236795967547,111.0413683208326,110.8870824854157,109.94121197089943,109.81965482774312,109.43531152489489,109.43091328749223,109.47239875864875,109.46725899761623,109.69395511895529,109.79479194316168,108.89768412528846,108.92421204721224,109.05110203187145,108.89963520704288,108.4598434138615,108.316357556875,108.36361450278136,108.40826112358398,108.299690616097,108.18393473810146,108.48870469127831,108.8028043781617,108.84530875503121,109.21539534039553,109.14709704282076,108.59211736743785,108.45054627085874
5,102.49770044770048,101.98260073260074,102.54942850359512,107.73333078958078,110.66195054945054,110.07100546058872,111.56328856328864,111.63957570207575,113.44724031112916,112.82159849409847,113.6097860472861,111.63005443630453,111.55396238377008,111.17079154311301,110.95683557183568,110.72380698005719,109.83592197562808,110.03203488897945,110.47453141400516,110.23536324786325,109.74952492392966,109.87443112443127,109.52185326750562,109.83092779134458,109.5569662189664,109.25040386963478,109.51107417959288,109.39137413512425,109.29234523458676,109.65117707909378,109.81056297346612,109.81776302401289,109.81067928984585,109.98050079005945,110.1202664399091,110.32509397752426,110.70882805882789,110.78081716042236,110.52570611961627,110.28676434676433
6,111.00390720390727,110.9086487586488,110.74555352055356,115.00711614774119,114.30337810337812,114.79400013566678,115.20981089016801,115.54566417378929,115.83607041107041,115.21041564916564,114.2337634587634,112.47239519739519,111.76188989073603,112.52166659398804,112.4179517704518,110.62541335978854,110.06133047236005,109.80888052276954,109.77438226977718,110.02585266585278,110.2872822063299,110.34315545565555,110.23730755959032,109.65843635531151,109.15962840862852,109.21411234776627,109.65810175763887,110.05881428426088,109.99480460471857,110.12962691629363,110.35740510982444,109.76642230743786,109.87925870425865,110.10405504081966,110.1553639746495,110.03281596232965,110.13471094721066,110.17926922005846,109.92792140195957,109.85915560134279
7,116.47382987382983,118.27444546194553,114.32452686202686,117.02025208587725,120.57305759055762,120.12167955501289,121.966883249026,122.5513907967033,122.07031214670097,121.05612688237673,119.91457292707285,118.16147401980726,118.16426262483931,118.35412596662587,118.52425518925509,118.02548235907605,117.61900721827185,117.19176276398491,116.35372244714345,115.6044523300773,115.4671133980657,114.96449592074578,114.07115782767943,113.23860314068637,112.69048575498567,112.67693501299249,112.63019076259802,112.58837250712244,112.47499877198138,112.75774555691198,112.79732659813294,112.97606551434667,112.9091001591,112.14595842610534,112.00550918658058,112.1008221973499,112.106012056012,112.1292024130838,112.0641414378592,111.62408577533569
8,113.8118182743183,116.9903337403338,115.48130850630852,116.71627238502246,118.60306980056973,117.34147079772075,115.15240202918768,112.63566722629207,113.31951849590725,113.0305352055351,112.23405437155432,112.59748974019799,113.17569894492962,113.7498488284201,114.40895841812497,114.03093775437524,113.60387877373172,112.64685083435093,111.34830184435467,111.3057313288565,111.88581748938914,111.9976576664079,112.79670329670353,112.61215044600488,112.35542755392788,111.74291134435401,111.45606600189976,111.23016309087778,110.99126457833395,110.85507342965721,110.4831457520978,110.44601934523861,110.76814096397472,111.02517282554074,111.14434458398766,111.31740421358502,111.45815760815786,111.44272312726281,111.03169880926325,110.62825345950388
9,115.70167378917371,121.62012871387881,123.0320461945463,118.20503790191303,118.75822140822147,119.27846628679973,119.46290118611559,118.15799946581198,117.62201759146204,116.90443630443616,115.88672993672981,115.41466642924962,114.20891643968554,113.44709067387612,112.65541276624575,112.28391330891316,111.52527981277969,110.88465212770765,110.93933337617548,111.12963522588524,111.825530554102,111.70217282717287,111.10227455716593,110.409251204043,109.87113776963793,109.83722781847797,110.0041529115605,110.44616983545556,110.30548082186014,110.00273979107317,109.78702226686111,109.55827307819513,109.39705818872487,109.28082145251261,109.33517064945642,109.47172011373398,109.63580778580777,109.94375053552686,110.02410068563898,110.16315959503441
