,0
0,201.72082390960315
1,202.94713893334375
2,204.1345289898203
3,198.67645852897263
4,200.59986068309414
5,203.94662310808928
6,197.25895309517202
7,202.27327716569468
8,200.55221077413458
9,199.6137791474336
10,199.56867750340604
11,199.05251277439075
12,202.02773552713447
13,199.31523977056798
14,202.73078771365917
15,200.48488455654444
16,198.10469489156657
17,200.2153680655668
18,201.63235767411345
19,204.80090908690156
20,198.46445434946494
21,202.22402687581854
22,203.13474061043698
23,203.74941473673098
24,199.61448014072715
25,201.01222549940232
26,198.7157846936562
27,206.07334417889024
28,203.3104606716303
29,199.52467364132946
30,203.82810674496625
31,201.78250250197235
32,203.93386855714402
33,202.076721291238
34,198.09427698493604
35,202.67590302485215
36,200.43357096565128
37,202.58094268167352
38,196.25491466839452
39,201.05123864192487
40,198.85660939683635
41,199.5770188827313
42,202.80748696108492
43,198.37845261241227
44,201.0337490796708
45,201.53523703713535
46,201.3397921709181
47,201.11734804096594
48,199.45673019693933
49,197.61604525154215
50,199.42651694508027
51,199.54102574276658
52,204.18038894105933
53,204.31283699481133
54,198.20832727128436
55,200.1068022802121
56,200.55442397308946
57,197.25524532560894
58,199.4450117052658
59,200.99121774438848
60,200.58465045123694
61,199.84702033762304
62,200.1348552382724
63,204.2095484985963
64,200.97009536154067
65,200.99707258146336
66,205.13644239290127
67,200.30341105982302
68,203.9821180578514
69,200.37816163406413
70,198.53073569025756
71,201.98887669131295
72,198.7278955652258
73,199.39036068088973
74,201.30023675056486
75,201.93066338654788
76,201.60698965263404
77,199.71419753902836
78,202.10741950701146
79,198.92865299068498
80,202.96699600125183
81,202.82271041922976
82,198.78659383390496
83,201.1743445271826
84,200.0917066761902
85,201.19517593168138
86,201.57354477760026
87,199.77349980821955
88,201.8005784296872
89,202.06867529902397
90,198.96765290691852
91,202.2983189387235
92,195.86775915810264
93,202.68038232791417
94,198.63515723852782
95,202.20845512540703
96,198.4328655635944
97,197.38652946596605
98,196.66478412492643
99,203.71923675497328
