,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,137.8335266585266,134.4566900691901,137.33061999728668,136.20894510582013,136.28176027676028,133.17873677248684,131.83118059189476,131.68250216218954,132.28665095192858,132.70793599918588,132.1890775890775,133.19797559693387,133.05749819980574,133.61546710564554,134.69514448514437,135.58117114367096,136.58370202781953,137.10081287025707,136.87158521303223,137.3680781949529,137.92276367812056,138.0384712509708,138.17744465679192,138.47577754036038,138.72439234839197,138.628180864719,138.28201491581086,138.69546739635987,138.38609251540257,138.5452460656624,138.90526556776513,138.99235395680657,139.09482030315323,138.84607394239703,138.9449428745854,138.80572033419216,138.5756377256373,138.8569388214122,139.05401743318376,139.25990664428133,139.36121832097405,139.36033587224023,139.58454273977506,139.53014057701537,139.4539419119974,138.9793844340039,138.78294549225373,138.9077605650519,139.11053674216905,139.19445665445636,139.12815136025887,139.21300219545367,139.5395364418945,139.32520481918587,139.68312530062497,139.6736836080584,139.72603597669365,139.50333029837296,139.41693320019547,139.5548394044223
1,131.39090862840857,135.39590201465188,134.46911375661364,132.78095365282846,132.71914021164,132.22710622710605,129.3328165881736,130.40480514855508,132.55697892642334,135.0491651404151,137.24868187368193,137.78575371387888,137.03013759744556,136.45205171812347,137.49036290869665,139.1297504578758,139.90522606478538,139.91456750554016,139.83767806267844,138.68041183353725,137.59591764056094,137.17403545528586,137.88943303073785,138.77523423721382,138.8746369556374,139.18010041952394,139.97626057070536,140.8940924981108,141.2416607020058,141.48666191832896,141.36121893339674,141.6482298661989,142.10916012999368,142.6156581435996,142.1555609337755,142.1400457310182,142.14642595892613,142.13793698991074,142.20174618828466,142.10307132682132,142.19719132493515,142.47660195844716,142.57712208119173,142.75031184093663,142.7932439062994,142.54362303356885,142.31129350358106,142.1563977496271,142.05635367089465,141.7832810337813,141.8290804783453,141.52689969396698,141.39056354197865,141.18200200862225,140.7088289488289,140.70195823521718,140.77605418460672,140.796249280732,140.93043155839771,140.67617809659484
2,119.22542226292224,126.56552706552704,129.75413614163614,128.92894408831896,130.04309320309312,130.77849596391263,130.68914617128894,130.39545685795673,130.08343056120825,129.97176434676425,130.34757141007123,131.211371421788,132.4793325976018,133.59213980463977,134.97330891330898,135.89754305301187,136.72392504010162,138.26966292452408,138.93883372962335,138.74214514652033,138.25966674419067,138.3993467180968,137.98105545822946,138.2946829212456,138.83737606837602,139.17488416142243,138.50190781440756,138.30864821355874,138.12779444374252,138.06531932573589,138.18391002665194,138.55429592109297,138.72979196729204,138.94030426273088,139.41541077969654,139.51428274657442,138.9108402358403,138.81888026690658,138.79283353161563,139.03790000508744,139.30262267091533,139.39256957768865,139.48097308591483,139.5969123469121,139.66284538506744,139.4972455583868,139.1799873786575,138.7683894230767,138.6355669557198,138.57625885225875,138.71055727134134,138.8626830523462,138.85181345558672,138.70331319058147,138.59932308432278,138.05653844336857,137.79874722418552,137.8747819390058,137.78868909652783,137.58350529100497
3,117.64306064306066,124.45186457061459,132.76847442680784,140.85763634513634,142.33872303622306,138.0976020892688,138.06752863538583,138.6075078856328,138.57505935422589,138.6099140211638,137.55333370333344,137.31939272147562,137.05213557809674,138.0672237484735,139.71780525030502,140.9471780245215,140.5591886327176,139.85178458372857,140.05481813508075,139.96123804436246,139.70994631470765,140.30680245680196,140.58732813080584,140.3488169430871,139.99451098901017,139.96690069190007,139.74642329549673,139.3366669210414,139.99008497887752,139.8111667344997,140.04451091023643,140.10993033297694,139.61226874976845,139.36411124278737,139.4600114832255,139.38945289535545,139.43037763037748,139.31743715592378,138.8695191916343,138.82206514550228,138.79316512304285,138.81171276915293,138.48802874558658,138.47170052170011,138.70899188260256,138.91925056626084,138.77056824184424,138.4795957129286,138.49723167044564,138.47980402930372,138.40247512110224,138.24931524138233,138.46439859930396,138.33214615459946,137.94298266548222,137.7361567169597,137.6345330027341,137.8024290205318,137.8212579244353,137.691677604802
4,136.39778693528692,139.3889906389907,139.71046160629498,131.4798382173383,133.9968142043142,133.57814407814422,134.5305417466134,134.48086080586108,134.53968932302297,133.6790842490844,132.76409516409524,132.99356600189955,134.4403032153035,134.47984076109097,135.6883007733011,136.5450915114981,137.0098012281839,137.00206552706572,136.8341719683826,137.0338166463168,136.8107908405529,136.75255115255132,136.43629337651075,136.21385899979649,136.04309483109492,136.06160068563935,135.8853072853075,135.55972512936808,135.59468390804614,135.78807997558005,136.24642348392356,136.67598983770884,136.73690954107659,137.06338343029563,137.52803389732003,137.7824170171396,137.95612150612192,138.15123398774753,138.52736725525227,138.23318643162432,138.18925010175042,137.88724828962958,137.60878600297232,137.58869070744092,137.66050999412136,137.75043398630393,137.78660589804247,137.70677941849846,137.622771361292,137.46138502238523,137.45242973257697,137.49993014464175,137.45631551362683,137.45705966701328,137.62723822473816,137.69856677713818,137.732051996087,137.6144622857984,137.27569560853453,137.28357185253014
5,131.1824633699633,135.43181725681717,134.93718457468458,130.15861060236062,128.94538461538468,130.62398165106487,132.07118146403843,131.27479777167264,130.63583073305279,131.25048127798115,131.52548886298877,132.039725359517,133.09223411915704,132.57866918134766,132.94678944512273,133.65551167582416,134.98274677392314,135.84514454167223,136.36889178073383,136.59271927146918,136.04832524177752,136.38051809301794,136.5396190564669,136.69650615588114,136.99669006919012,137.26265399486564,137.0783735811515,137.7344585804408,138.15968134675043,138.14369658119665,138.1525306234983,138.0073466753155,138.00620028120028,137.77317179008347,138.0486410547124,138.0410377945099,138.22535461285452,138.22238395133118,138.16751784540224,138.14385492979218,138.2551186505452,138.14896917456412,137.5565127163964,137.70129511692,137.86961108849985,137.9680477031018,138.11788496176774,137.99018461284055,138.07897666392543,137.74166096866074,137.44434848013267,137.2718737281235,137.3043950284515,137.28943551304633,137.42255207755196,137.57499963660672,137.54696740069542,137.74472197661837,137.72737207080402,137.53054173449974
6,148.35968660968652,143.98782305657298,139.29334384751044,137.551586029711,137.01049552299548,134.69807607515926,131.11232484446748,129.7829504985754,129.68811276172391,128.6217389092389,129.46308552558557,130.55588412359262,132.46630310572627,133.91291753881052,135.650924569258,136.52045272435902,137.8235404845699,138.26111845972952,137.9790587580061,138.12428418803415,138.54853576758333,137.73510933510923,137.49507595866288,137.3891491995658,137.518725071225,137.90991319933627,138.26417642713932,137.73153126635262,137.62687992084514,137.54197683489323,137.9052603161472,138.17694533475776,138.46512021928686,137.92895254255544,137.5295427059711,137.61478570297993,137.60841597091573,137.41742711479543,137.4870327322249,137.60536922568147,137.89613697052704,138.0486853644591,138.3238486857672,138.29763373200873,138.70464195269759,138.96764014970532,138.90413700759436,138.28657852564098,138.16454372347232,138.14959879934892,138.11687595266034,138.20810439560452,138.16381603197667,137.7086297276115,137.43627113627124,137.62032930693638,137.64182420081542,137.74228076361692,137.6559000400101,137.3670923212589
7,129.6123066748068,132.34479039479055,135.20522317188983,134.10499338624348,134.38039886039903,134.86435354768707,132.9378772021631,130.8062798890926,131.92057274001743,132.55943426943435,132.20964405964415,133.21845916429265,133.04491014683347,133.18470950345986,133.93573938407295,134.7878205128208,135.72230272450884,136.6757908244022,136.39660636634352,136.24782356532393,135.7566915227633,135.8658429533433,136.1722945532732,136.0667760480264,135.86622161172187,135.86109741398215,134.62401113975199,134.57409351561145,135.28552324112695,135.7308570750238,136.10524226371012,136.7553549170737,137.28171781921787,137.11846869089527,137.18313317634772,137.24501424501457,137.3948590073593,137.10576280444724,137.24484935766992,137.24428291615789,137.26046028271637,137.38497768765626,136.95492766277653,136.67283630721116,136.46165762221315,136.67742928367915,136.75559831224726,137.05969742063496,137.08302476057568,136.8710072242571,136.92634290183307,136.80629158057027,136.80952860905663,136.64463974811153,136.50917055167008,136.5799913875801,136.69878274746625,136.6979588578721,136.71353681629054,136.74546355650466
8,138.6991147741148,143.18142297517295,143.6437830687832,142.78450854700864,138.86817765567767,137.46271537104877,137.5806325949183,137.13872863247875,137.64963709130376,138.16222680097684,138.67915972915966,139.59127111314606,139.9173073009612,139.48758648758667,139.04421923755277,139.04593190374456,138.68230924848595,138.96880087505102,139.25666302508415,139.45676332926342,139.41000615345862,138.22571571946565,138.076540408062,138.44128150013552,138.72813593813578,139.30483841301148,139.82890701548104,140.37470946712003,140.78836540215835,140.39660205535182,140.48917625086958,140.26094163359767,140.46181072014383,140.48255479542206,140.27977992906523,139.91553384886677,139.9087301587297,140.0772597894303,140.15698697076851,139.88751017500965,139.3421873293818,139.23488138845215,139.41462527567117,139.85876033688476,139.8970079817296,140.02658674859714,139.9915798543451,139.99189825413714,140.0856709900072,140.38740435490382,140.3625167588398,140.29818102125753,139.94476764500308,139.62214251797548,139.5095621045616,139.58510587461424,139.4489620597071,139.36027991803792,139.29453075957252,139.20604149708254
9,123.52279202279203,130.09970492470484,129.10841303757965,126.732733007733,125.80754884004884,126.33809099850771,127.70133219954643,129.10233516483504,132.21549427938308,133.83751678876675,132.63121554371548,131.24868615181109,131.32336456278753,130.94319001104705,131.75276319359654,132.2253984152423,132.18582381670632,131.58338420838422,131.45926193689365,132.5621962759464,133.4754762873813,134.0498411310914,134.64282153032178,135.45462814577408,136.238665649166,136.40851354841766,136.2765315274576,135.65171903162982,136.54970088978712,136.778519366436,137.03458863418533,137.39331501831512,137.46625118708462,137.6522738155092,137.62363276934713,137.60736303305745,137.16436422686417,136.9569863494204,136.4119813353786,136.5069205331704,136.67104551952107,136.6415062891253,136.66387421794383,136.69501436063928,136.91043006376347,136.86905403372825,136.61441939660065,136.56126945970746,136.78476759446218,137.06655189255258,137.27441892711573,137.25716907736208,137.0047141014129,136.86109839234902,136.61296980797033,136.58014928193555,136.59856844747245,136.6212080543983,136.4939619937507,136.54699693053917
