,0
0,218.56256075545002
1,215.9227289860533
2,214.45865322937948
3,217.49384014125013
4,215.900833878892
5,221.34974639765633
6,219.3497993003621
7,216.54346287883374
8,214.3910898618572
9,217.68408488239132
10,220.2331752865009
11,223.71241428108587
12,220.75832721645756
13,217.84193994220317
14,220.37267310757068
15,218.7966155494282
16,223.74209269876482
17,221.8448363653202
18,209.91257827947106
19,215.75818834685566
20,221.79793811706028
21,216.11390613737515
22,217.488675514644
23,220.73000443060118
24,217.91675759319082
25,218.80997348251836
26,212.68179022754828
27,216.4068218038514
28,220.44640625309873
29,211.77722670793048
30,213.21685480191152
31,218.41997473895816
32,218.82823814152766
33,215.90626301902546
34,213.01616177647296
35,219.13014065506795
36,221.81087944134876
37,216.81685744704745
38,215.86849710027053
39,218.69100191110897
40,219.54767525674396
41,221.08590076775
42,217.6069659637228
43,219.58384748150047
44,216.78665661515302
45,216.18178030829029
46,218.05519736015563
47,215.5811428306912
48,218.45536003597405
49,215.46147029843735
50,215.41916797270167
51,216.04389601973267
52,220.832073587663
53,216.48472765025934
54,211.28807506893895
55,216.83162391466826
56,215.89572876783006
57,218.44641947877608
58,221.05528332705097
59,214.39493192083017
60,217.71031139855003
61,218.19116392564604
62,220.61144946799695
63,212.83600822637075
64,215.671639520966
65,212.67232725613403
66,217.1749227951146
67,224.02552555531273
68,213.8526064501622
69,216.60301809933847
70,219.19604420020997
71,221.09457681142266
72,221.31792542041123
73,218.31249628027894
74,217.10200302868003
75,220.99074202657005
76,218.7665535871338
77,216.28683846820255
78,218.84779891681788
79,217.98579562362397
80,215.31841477043486
81,218.6669774700594
82,216.39256452476835
83,213.66080107921496
84,223.4678781386182
85,214.23526494336045
86,219.39925671698984
87,221.02247042408152
88,214.83352841205803
89,214.23795636849482
90,219.66597231865913
91,213.58099734825132
92,219.8359685493419
93,212.3381937693841
94,214.1755179505494
95,215.23985425304664
96,218.26643124962735
97,220.4993949253084
98,216.98930704068906
99,222.0572076629564
