,0
0,131.84560052963786
1,129.11574514223412
2,128.95827947685333
3,131.24401932373002
4,138.07324850079328
5,138.35339528545347
6,135.04670164349363
7,136.82107681930646
8,137.04007659701315
9,136.48400468901104
10,131.44160482391302
11,127.01060483052551
12,137.45480265001822
13,135.62274444992116
14,137.4119063133783
15,138.98729152391834
16,138.18836593208206
17,137.35730538035767
18,134.5873526672375
19,134.5455594028712
20,137.04221483279912
21,133.43649640643176
22,134.6270567834233
23,133.0728568173026
24,125.12761022711051
25,139.09287769352377
26,128.01911428154352
27,133.59580298422125
28,136.37091930658826
29,139.52922111448706
30,138.7065453872147
31,138.29520866810836
32,132.77413418872897
33,134.97029602115703
34,136.44837929510206
35,126.68819883074885
36,130.40135209649867
37,137.17894301920796
38,139.33695704147718
39,138.1361172618984
40,133.5459222187803
41,137.90745002347546
42,126.72182371394327
43,127.12768042493045
44,139.22425609385772
45,138.34946802260342
46,138.5975714097501
47,135.55159997619353
48,137.95858659231868
49,124.29114202697762
50,132.73720237777385
51,134.35996997262782
52,138.0499440960835
53,127.4440824763351
54,137.66140831579682
55,137.2074860634438
56,133.68955649729153
57,139.5658496250774
58,138.21706564971424
59,134.4237155706398
60,133.71076285192402
61,127.95026153774955
62,133.57265270950853
63,132.1622696379677
64,136.82525931227488
65,137.21434370379018
66,138.6394884104926
67,129.51430242441884
68,135.97432578299836
69,130.06474846035326
70,136.91059430085247
71,135.89733632335316
72,135.56023634283633
73,137.72769451536269
74,136.51553660892623
75,138.5829140539596
76,137.11812792586275
77,134.13811065109533
78,125.9776947697022
79,136.05563355313367
80,138.03741340361182
81,138.14844410091544
82,136.69043956552645
83,125.27393465905462
84,138.44266249650934
85,129.21460999769587
86,136.7049893355269
87,121.3462138703772
88,131.17587618833932
89,138.27650336517127
90,137.0702422028282
91,136.77804593684382
92,129.66310845105411
93,131.95049196972514
94,139.69413258130086
95,136.85805199522036
96,136.13585363856197
97,138.47021475954952
98,131.98580859495996
99,132.3527459556137
