,0
0,52.74188108794411
1,51.0219942997335
2,51.513916717916
3,51.83405743911227
4,54.945027476342666
5,51.09658050138549
6,49.88738997890496
7,52.76759180272587
8,52.1153411232566
9,51.65615225398585
10,53.052849802606815
11,52.06274260850026
12,50.11658433683162
13,49.58835743712857
14,50.3386566680553
15,52.02528088030104
16,53.8206598289919
17,54.284570264711995
18,55.04744711382682
19,54.50895708929316
20,50.207292637927395
21,56.987838990616595
22,51.79908875090101
23,52.409797581023916
24,49.69362720786135
25,50.82754379352067
26,51.0322772630787
27,52.135675600610966
28,52.297743038334666
29,51.30764906990452
30,55.00239384741574
31,52.119064151142915
32,52.05777636703903
33,53.93602740360165
34,52.25037527856585
35,52.336209917934795
36,53.75712367991212
37,56.12123977489939
38,52.81993902963222
39,57.57917220491845
40,53.142083440792135
41,52.52628272528264
42,52.100323367786174
43,49.92706039505091
44,52.38219559452717
45,51.919329987237305
46,51.84232348681751
47,58.41965070988824
48,54.34606965963725
49,48.24997189543796
50,53.943480072212225
51,51.22690631592173
52,53.032310327269435
53,52.47620370186677
54,56.09694420748429
55,52.09321456676007
56,49.743117688680826
57,51.990411384662046
58,52.44534819899381
59,49.12663585084083
60,55.56413461093388
61,52.09398826882517
62,50.30902454024244
63,53.11385323466967
64,52.24365663499125
65,50.198199985451765
66,52.11792674297886
67,51.120657845140535
68,52.97072496544755
69,51.11543370299088
70,53.26208000211614
71,52.086231409658524
72,51.22671454361489
73,51.61466330734464
74,51.25402556523253
75,51.40909662017844
76,52.51139061373749
77,51.533153464135225
78,54.36740928839243
79,50.565946528590516
80,54.35103590109832
81,52.742317535263055
82,52.41157643448991
83,52.122039928316916
84,56.483907658327844
85,55.04241474398384
86,50.559320464750094
87,50.1280377725315
88,56.27978256988112
89,50.51344720640645
90,55.3624628854458
91,52.52021875268644
92,49.7953789486912
93,54.66111188260892
94,51.363296103054395
95,52.82960699902807
96,53.72804041766664
97,47.5419485388934
98,51.50137216391909
99,51.94707745617367
