,0
0,45.60279326284066
1,42.48711488483759
2,47.16264936748199
3,45.43051560299168
4,44.87466687827753
5,48.18197869343532
6,44.92866731472486
7,47.50362714173308
8,47.93516773464016
9,43.389674714490674
10,46.873205441043325
11,48.00902652409392
12,49.252524450969396
13,45.4177065354679
14,44.02772763042181
15,43.65207213283867
16,43.986556100012656
17,43.009753936291894
18,46.1238518459739
19,44.93357404064266
20,50.196421131985815
21,46.488814384245636
22,44.504103266080655
23,44.82745782662465
24,44.272825864132535
25,45.81618955039321
26,47.31817009542314
27,47.025294105977636
28,45.41615913133761
29,47.87827748791507
30,44.52441790492073
31,45.35156492815172
32,46.97374703248894
33,43.49849557931753
34,47.2851521944704
35,44.55060474405008
36,46.64947328744021
37,46.677379464492425
38,44.83123375721617
39,47.567513771235454
40,45.210453574569755
41,44.835611456080855
42,46.75117212556488
43,44.29507806455454
44,44.6311160486967
45,46.10561363831749
46,48.19943658618858
47,48.415828489429344
48,45.995086661244166
49,43.82883990980074
50,46.37348648666511
51,44.750471164719194
52,44.57883495017229
53,47.39066664021534
54,52.021266887535674
55,46.69998875817527
56,46.76361087415135
57,45.496531566382885
58,48.140952645465966
59,48.06855529324637
60,45.94728906699475
61,45.649936186111816
62,43.4794572182435
63,47.60309745339587
64,49.06173084426127
65,45.28362462885441
66,44.7807116736433
67,47.7564690089341
68,44.69366688489025
69,46.00463559955282
70,47.12672181773706
71,47.282764959893036
72,46.04374392445478
73,45.27598018793695
74,44.65625805939654
75,47.69157061519266
76,45.19563420424422
77,44.82042176681821
78,45.632980869059374
79,46.35613439932293
80,43.978726499626454
81,47.32555002281421
82,43.55680097340996
83,47.24575290468937
84,46.868351617830896
85,49.155289278605665
86,45.310757103841404
87,43.99322845372011
88,47.977833766474355
89,44.413031258886114
90,46.03145065830783
91,47.05614960885068
92,46.42767869541919
93,46.5567679092191
94,46.28090013953111
95,46.34003875123154
96,47.19378922239641
97,48.81493972397994
98,44.57199066267253
99,44.319849756316906
