,0
0,45.51735335904209
1,43.94947537302768
2,44.72755793482067
3,43.11965167638007
4,45.53791432610343
5,46.69095574841288
6,47.37787028968818
7,47.03087648591758
8,45.7950774287045
9,46.269212965435614
10,44.32574395701066
11,45.61912621008588
12,45.2819979978363
13,44.448979155825256
14,43.66034682810149
15,43.889952326523556
16,44.23902116260814
17,43.86164505540301
18,44.66913134775257
19,47.55141494389514
20,45.05439288295817
21,44.44201698176837
22,43.66938657787151
23,46.47643858479167
24,43.69271959582333
25,43.70671592213739
26,45.279537767699296
27,46.09073398942888
28,44.86478437315119
29,46.1488617270801
30,44.17085589964362
31,46.62943180968464
32,44.79335936248163
33,43.946288748052446
34,45.07088542850951
35,44.98194326388328
36,45.101558188143464
37,46.107786973014015
38,45.59237944160167
39,45.48563017549951
40,45.15156040090107
41,45.315060662616574
42,43.87844535226859
43,44.37700095580932
44,46.239645694304784
45,45.21046285797705
46,47.65400498913211
47,45.42808780119562
48,48.371157495931776
49,44.508109628648434
50,44.932376862594865
51,47.850318026647656
52,44.85472789951319
53,47.310432057411646
54,46.131247160930556
55,45.78632877098369
56,43.598029221623094
57,44.81750003687918
58,44.92202738935828
59,45.17281418992999
60,44.81545946762555
61,43.46300358670173
62,46.12939136963568
63,45.31122114704233
64,47.56177967752751
65,44.36881655122185
66,44.74263100922587
67,46.5102903392028
68,44.17605028402151
69,44.68164334623857
70,44.87121078014701
71,45.03128711773352
72,45.01829886772947
73,45.24926088816521
74,44.583149191224464
75,46.75387792090343
76,45.28552645567644
77,44.770203365120885
78,43.60725209614239
79,43.29533049693446
80,43.75027913807251
81,47.489723903833124
82,44.373614673989664
83,46.00351930160291
84,45.46679579504872
85,46.45125142875447
86,43.903367867609056
87,44.14788620628106
88,47.56058771344854
89,45.12408431266934
90,43.71973558312275
91,45.09592277832799
92,44.465829939167115
93,43.95891138440783
94,45.08502456669388
95,46.37324346486276
96,49.473932446297475
97,46.373692374838186
98,43.97804601314531
99,44.25908413208803
