,0
0,315.4923089131968
1,319.84769928710233
2,319.8329167052422
3,317.99955912371615
4,316.9641567579716
5,312.0461553383492
6,318.43813844397175
7,316.6621035971101
8,318.1909391105755
9,319.1749132575919
10,313.30482627269924
11,320.7648365892038
12,320.0571243403389
13,318.8374621397485
14,314.7185842580705
15,318.9467024658201
16,314.04584672494906
17,314.94183078286403
18,321.34742373942373
19,324.1180049466321
20,314.1346656614695
21,317.2184806521437
22,326.72702263017925
23,325.2073397084048
24,311.5689684817527
25,317.82085433006745
26,318.8711406792133
27,321.59624990631517
28,319.1534205386632
29,313.91650684901276
30,320.8689539328366
31,319.9228201974236
32,322.25361849211527
33,317.3245202163812
34,317.5708025271031
35,327.275199386299
36,312.6336318065788
37,319.8055471054274
38,327.3284351977995
39,320.3188505473474
40,311.55423439628566
41,320.28295880893074
42,323.28287063367054
43,322.03394747399955
44,315.4787916462769
45,314.3085164072098
46,313.7511694243479
47,316.87700874257575
48,319.3347088673441
49,319.50357330229565
50,311.5610767962401
51,320.5381776819606
52,313.7047539689892
53,309.87957023379704
54,321.55978943748596
55,320.545478593251
56,314.92175327681406
57,320.2835275393381
58,333.34853915642793
59,317.9047839485762
60,321.2733388883745
61,311.81466442701486
62,323.0366985420218
63,321.44077929292297
64,319.39697823393874
65,322.5975549001195
66,327.30356536652266
67,314.4266932955944
68,319.3515591589842
69,316.42138073635226
70,320.26158071783493
71,313.7013680391145
72,322.4561702840575
73,319.0453220821715
74,320.64040366632696
75,315.0117008566222
76,321.88011692039
77,320.4009946169
78,322.39084564480333
79,325.62163997160775
80,323.4184048214222
81,313.67096961921624
82,319.57582410799614
83,315.7486035243665
84,321.1333915290032
85,323.19020284717857
86,318.3492489672478
87,314.50829067855267
88,323.1890168899693
89,319.99188787634165
90,320.1177800997268
91,317.1918869945904
92,319.72137941372296
93,320.4298587873268
94,315.37787065571507
95,313.2709669739579
96,319.08583420406364
97,315.428959399703
98,308.6889353278569
99,317.89217047804306
