,0
0,133.3983846292893
1,131.35209702805307
2,129.98658854338908
3,127.43312127184048
4,130.12674752337725
5,131.69961776026088
6,129.67931099854047
7,130.4956331203907
8,131.94160593595822
9,127.66175530484422
10,116.8752276023826
11,122.9754211470722
12,120.32149580506234
13,131.4923574095872
14,131.3153235370621
15,130.86344297926527
16,128.5351444531151
17,129.10877740597184
18,125.92273643093024
19,117.31624055973664
20,127.45031985574565
21,120.90662681145048
22,131.85529999426905
23,122.76619889692786
24,122.68658104849226
25,130.7683724170167
26,129.08064068141877
27,123.17933524673676
28,129.98975844388318
29,129.34077091627387
30,130.6299152194902
31,124.43776369912813
32,131.7806375952841
33,127.9374837426869
34,121.05514039705315
35,131.1168322157116
36,134.19506130384727
37,117.8091843347838
38,120.62296700922785
39,130.9588750600692
40,130.3692735681444
41,129.71400355346282
42,126.31841407982509
43,126.59752403877988
44,131.13151780478864
45,127.45622759797403
46,126.72949153738
47,125.94565318026068
48,121.34498569356488
49,122.09454151070626
50,132.13555182280322
51,122.86500368131682
52,117.98776568307186
53,131.02902729465092
54,131.77528094841315
55,131.29984877943434
56,129.14719536550817
57,111.39178030252901
58,125.62714210765284
59,122.35213670691867
60,123.72484029256567
61,119.77909893704717
62,128.56268158591993
63,130.78407202155043
64,132.2168582274128
65,131.29696544852547
66,128.9565472332807
67,131.47128352313112
68,130.13814858412525
69,128.37282703100644
70,130.57024702298287
71,117.888308401779
72,132.14064394390323
73,118.26276667504341
74,121.85438297159428
75,116.25330546995157
76,127.83195559494047
77,131.6986213798556
78,127.36078669964444
79,129.89202058010446
80,130.3233166241216
81,131.23867278602935
82,128.45873618403965
83,123.50052243839795
84,127.55851089625716
85,131.27036738220917
86,122.6575273012645
87,121.77301043554104
88,125.20650645222403
89,133.13248332385422
90,127.11551840438055
91,117.63070879680427
92,132.35856468316376
93,131.4944868420475
94,124.7361664043451
95,130.6329352220462
96,132.19171064407607
97,131.59576935116237
98,131.46178704793635
99,131.1124807667718
