,0
0,139.5506795768804
1,140.67044421338014
2,137.5798243820183
3,137.68791283400984
4,137.28084735065568
5,137.5271150785452
6,137.36253663936276
7,136.74138544694458
8,139.20343507062267
9,136.5433907049041
10,132.53583222012156
11,136.05185561437318
12,136.04536828939635
13,137.97504080649173
14,137.19675604924683
15,138.30426542719445
16,136.38015956669258
17,137.14361214349614
18,138.25979372755148
19,135.22261836086932
20,136.76717357265443
21,135.32605251582675
22,140.30642046439175
23,137.7100538106465
24,134.09626923704334
25,136.9753983402021
26,137.18714342010745
27,137.72384009688497
28,138.41487704808242
29,137.11510474372656
30,140.1678038731324
31,137.6114557294077
32,138.35840579813294
33,137.39890850901423
34,136.0443178168622
35,140.60213619821562
36,139.02669853523858
37,134.76332785968475
38,137.66783626058245
39,139.52296668704838
40,135.23891458971525
41,138.2790639212965
42,138.23140875573483
43,137.81350161581125
44,136.68250099281937
45,137.44092130595746
46,135.51133035097467
47,137.53758512727566
48,135.83165842736727
49,135.25492789468285
50,136.8039641052098
51,137.7773192381794
52,133.99982865173558
53,136.38582889659233
54,137.9692607488178
55,139.2331490300892
56,135.9742817362249
57,133.55054197261006
58,140.80783296418477
59,136.32135379202836
60,139.88046097346117
61,133.42948260115622
62,137.86651122386166
63,138.33758278724042
64,138.42554752595532
65,140.04154521372826
66,139.3469358080739
67,136.08653867349744
68,139.47100873850704
69,136.51667419547664
70,139.05503306063443
71,133.4930880772471
72,139.90982163841213
73,134.39669522527603
74,136.885226337407
75,132.25373006772895
76,137.678004478625
77,138.75388327223726
78,137.4632618638962
79,138.43872650510934
80,137.91670108892947
81,137.06779812478385
82,137.48073429980184
83,135.81132597612563
84,137.96086799044892
85,138.8767505755979
86,136.1770060634051
87,136.28493859780326
88,138.6723901734781
89,140.9912858258612
90,138.17060945720323
91,133.84522054497052
92,139.135758780305
93,140.03089304917748
94,135.78217048821696
95,136.75569205198306
96,138.191122922074
97,138.17332423771683
98,135.74257496507747
99,138.74501072177193
