,0
0,326.12304507971726
1,311.9384212510172
2,313.86253893308486
3,318.28357172615017
4,322.8651377784834
5,326.57342564855486
6,316.5845219909935
7,317.02541313706433
8,323.1871829970701
9,324.9124261841925
10,317.32345375311746
11,319.671930485845
12,313.7675587385351
13,312.7826624609009
14,323.53671778390606
15,326.87890570754143
16,318.4561205123633
17,318.89258105686326
18,322.34739884010855
19,313.04352570079385
20,317.8910667169238
21,319.6797071835262
22,310.93738303542443
23,321.2265492226617
24,317.4111069229794
25,326.4238167979317
26,315.01607580957693
27,305.55269440090996
28,325.82279577571893
29,328.0494441909529
30,326.65481646067553
31,323.40049993056573
32,326.9480032535159
33,320.50292618088906
34,320.0873489793082
35,316.77472705510576
36,320.86196361616436
37,317.93949914363856
38,322.50036701251884
39,318.8804597245086
40,318.888289324895
41,318.01294132428626
42,316.27866500023146
43,321.095529060117
44,326.87054046726354
45,324.53647972173155
46,324.34602998260857
47,316.61121801866153
48,319.48207590215657
49,310.2411239179735
50,317.77337803611977
51,307.89494845292637
52,323.94466377024315
53,313.7855985610463
54,319.46833442445137
55,319.9977846992156
56,319.64094933904806
57,323.2722769985651
58,321.92075174744264
59,323.5723279174191
60,318.57794221702005
61,320.3696245891783
62,319.1287519590541
63,322.32735532763
64,314.24428485461686
65,326.02610087223235
66,325.1132977562647
67,320.74317059138514
68,324.54727187361505
69,318.2404824726723
70,322.9897038109783
71,318.6726975750728
72,314.67484674747624
73,322.87987118191216
74,317.30476587246403
75,323.6589957743957
76,315.77811282824393
77,312.33177931636294
78,323.3508044517628
79,316.72626156420154
80,320.45568406504424
81,325.7379001593683
82,329.41885055647094
83,317.9084717069714
84,326.09708968992436
85,318.68871386910564
86,315.09168038830575
87,311.06408501464824
88,314.01387373446926
89,325.3029407291313
90,316.22640374022143
91,312.49871380297634
92,327.7327289199236
93,322.2747766513912
94,328.0189391685015
95,320.61083447404724
96,316.89266702375954
97,320.12180186614216
98,325.0810800087281
99,313.91400665251496
